,job_titles,companies,locations,descriptions
0,(Senior) Product Manager - CRM (f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany","We are seeking a dynamic and experiencedProduct Manager (f/m/x) for the development and optimization of our internal CRM & ERP ecosystem. * Stakeholder Training: Train stakeholders, internal users, and fellow product managers in the complexity of our internal tools, promoting a deep understanding of its capabilities and fostering its optimal utilization. Translate these insights into detailed product requirements and stories. Ensure the scalability of the CRM & ERP tools as the business expands. * Module Ownership: Take ownership of the modules of our CRM & ERP landscape. Collaborate with cross-functional teams to gather requirements, define feature roadmaps, and execute on product enhancements. * 3+ years of demonstrated experience i"
1,Head of Influencer Marketing (f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany","Our ideal candidate has a keen understanding of data-driven influencer marketing and how it can drive a positive ROI. If you are up for the exciting challenge of increasing efficiency in the team by applying best-in-class processes and therefore scaling the revenue generated by influencer marketing with a month-on-month growth rate, we'd love to start the conversation. * Team Leadership: Lead and grow our influencer marketing team of six profitably across the DACH and France markets. * You have evidence of generating at least a high six figure revenue via influencer marketing with a profitable contribution margin. * Influencer Community Building: Esta"
2,Head of Paid Growth (f/m/x),Tourlane GmbH,"Berlin, Germany","We are actively searching for a seasoned Head of Paid Growth to be part of our vibrant team. You'll need a deep understanding of growth engine bidding models and the capacity to encompass diverse customer journeys and sales utilization. Our ambition is to become the leading travel company for authentic, customized, multi-day trips while being mindful of our planet: we are the first travel company in the EU to set near-term carbon reduction targets approved by the Science Based Targets initiative (SBTi): this is an imperative step toward decarbonization. We are believers in the life-changing power of travel. On our journey we've built the amazing team that we have today - a team that sets the ambition to be remembered for building the "
3,Senior Salesforce Developer (f/m/x),Tourlane GmbH,"Berlin, Germany","We're on the lookout for a passionate Salesforce Developer who lives and breathes the art of building exceptional applications in Salesforce, harnessing the full power of its incredible toolset. * Current Salesforce certifications (e.g. Administrator, App Builder, Platform Developer I). Interested to join the adventure of creating the best Salesforce ecosystem in the travel industry? As part of the Product Development organization, you will join our Berlin-based team of 6 fantastic Salesforce professionals, as well as, to drive highly visible initiatives across Tourlane. * Design, code, test, debug, and deploy customized Salesforce solutions using Apex and Lightning components to address complex business needs. * Develop and maintain "
4,Customer Service Agent (f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany","Ein umfassendes Onboarding: Wir bringen dir in unserem Customer Service Bootcamp alles bei, was du brauchst, um bei uns erfolgreich zu sein. * Du konntest bereits Erfahrung im Kundenservice am Telefon, mit Service Software Tools, sowie in der Bearbeitung von E-Mails sammeln - Tourlane GmbH * Home Office or Berlin, Germany * N/D - Wir sind ein dynamisches und diverses Team, welches von unserem CEO Julian Weselek 2016 ins Leben gerufen wurde. Mit Tourlane sind wir derzeit in der DACH Region und in Frankreich aktiv. Unser Ziel ist es, das führende Reiseunternehmen für authentische, maßgeschneiderte, mehrtägige Reisen zu werden und dabei stets auf unseren Planeten Rücksicht zu nehmen: Wir sind das erste Reiseunternehmen in der EU, das sich von der Science Based Targets-Initiative (SBTi) genehmigte Ziele z"
5,Team Lead CRM (f/m/x),Tourlane GmbH,"Berlin, Germany","We seek a Team Lead CRM passionate about customer engagement, analytical thinking, and leading high-performing teams. If you're excited about the opportunity to shape the future of CRM at Tourlane and lead a team of passionate , we'd love to hear from you. * Team Leadership: You'll lead, mentor, and scale a dedicated team of to drive performance and innovation. We are a lively and diverse team, founded by our CEO Julian Weselek in 2016, currently active in the DACH region and France. On our journey we've built the amazing team that we have today - a team that sets the ambition to be remembered for building the future of travel, for consistently changing the norms of the industry and, "
6,HR Manager (f/m/x),Tourlane GmbH,"Berlin, Germany","We are looking for an HR Business Partner who will advise, support and assist and from our Sales and Operations departments. * Be the main point of contact for all HR relevant topics for your area and work in direct cooperation with the management team * Work closely with our People Operations, Recruiting and L&D teams to deliver the full spectrum of HR services * Accompaniment and takeover of HR projects * You have a good working knowledge of local employment law and HR best practice - Tourlane GmbH * Berlin, Germany * N/D - We are a lively and diverse team, founded by our CEO Julian Weselek in 2016, currently active in the DACH region and France. Our ambition is to become the leading travel company for authentic, customized, multi-day trips while being mindful of our planet: we are "
7,Product Manager (m/w/d) Platform Strategy,YOUMMDAY GmbH,"München, Berlin, Brandenburg I remote, Bayern I remote, Germany","Du konntest mindestens fünf Jahre Erfahrung im Produktmanagement, dem Bau digitaler Produkte oder der dahinter liegenden Produktstrategie (z.B. als Product Manager, Product Owner, Service Designer, Project Lead), idealerweise im Saas-Umfeld, sammeln - Für unser weiteres Wachstum suchen wir ab sofort dich als Product Manager (m/w/d) Platform Strategy zur Weiterentwicklung unserer Software als Plattform in München oder Berlin im hybriden Modell. * Aufgabe: Du agierst direkt mit unserem Tech & Product sowie den Gründern und in einer äußerst vielfältigen Position, die dein Skillset, deine Initiative und deinen Erfolgsdrang herausfordern will - YOUMMDAY GmbH * München, Berlin, Brandenburg I remote, Bayern I remote, Germany * Feste Anstellung * Home Office möglich,Vollzeit - Über uns - Wir "
8,Staff Backend Engineer(f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany","We are seeking an experienced Staff Backend Engineer with a strong technical leadership background to join our dynamic team. As a Staff Backend Engineer, you will have a significant impact on our technology strategy and product development efforts. In this role, you will play a pivotal role in leading and mentoring other , facilitating our tech stack, ensuring observability, and leveraging your expertise in Ruby to drive innovation and excellence in our backend systems. Tourlane GmbH * Home Office or Berlin, Germany * N/D - We are a lively and diverse team, founded by our CEO Julian Weselek in 2016, currently active in the DACH region and France. Our ambition is to become the leading travel company for authentic, customized, multi-day trips while being mindful of our planet: we are th"
9,Reiseverkehrskauffrau Flüge (f/m/x),Tourlane GmbH,"Home Office or Berlin, Germany","Du liebst das Reisen und hast eine touristische Ausbildung abgeschlossen, idealerweise als Reiseverkehrs- bzw. Tourismuskauffrau/-mann - Tourlane GmbH * Home Office or Berlin, Germany * N/D - Wir sind ein dynamisches und diverses Team, welches von unserem CEO Julian Weselek 2016 ins Leben gerufen wurde. Mit Tourlane sind wir derzeit in der DACH Region und in Frankreich aktiv. Unser Ziel ist es, das führende Reiseunternehmen für authentische, maßgeschneiderte, mehrtägige Reisen zu werden und dabei stets auf unseren Planeten Rücksicht zu nehmen: Wir sind das erste Reiseunternehmen in der EU, das sich von der Science Based Targets-Initiative (SBTi) genehmigte Ziele zur zeitnahen CO2-Reduzierung gesetzt hat: ein unerlässlicher Schritt zur Dekarbonisierung. Wir treiben schon heute und in Zukunft den Wandel in der Reiseindustrie für ein besseres Morgen vora"
